secret;recovered;error;steps
0.8116287085078785;0.8116290230196449;3.145117664082875e-07;1040
0.8494859651863671;0.849486861250004;8.960636369570452e-07;1040
0.8950389674266752;0.895040715639244;1.7482125688195183e-06;1040
0.5898011835311598;0.5898020298743871;8.46343227278723e-07;1040
0.9497648732321206;0.9497661308145748;1.2575824542837566e-06;1040
0.5796950107456059;0.5796939924061998;1.018339406133606e-06;1040
0.4505631066311552;0.45056246401347505;6.426176801244132e-07;1040
0.660245378622389;0.6602441561450832;1.222477305717895e-06;1040
0.9962578393535727;0.9962565889734692;1.250380103456905e-06;1040
0.9169412179474561;0.9169432891786673;2.0712312112092235e-06;1040
0.7933250841302242;0.7933252026861398;1.1855591564025048e-07;1040
0.0823729881966474;0.08237297413306863;1.4063578773759744e-08;1040
